# author: Mathias Hauser (mathias.hauser@env.ethz.ch)
# script: warming_levels.py
# executed: 2025-11-07 09:54:30
# reference years: 1995 to 2014
model, ensemble, exp, warming_level, start_year, end_year
CanESM5-1, r1i1p1f1, ssp119, 0.94, 2019, 2038
CanESM5, r1i1p1f1, ssp119, 0.94, 2022, 2041
EC-Earth3, r4i1p1f1, ssp119, 0.94, 2062, 2081
GISS-E2-1-G, r1i1p1f2, ssp119, 0.94, 2027, 2046
GISS-E2-1-H, r1i1p1f2, ssp119, 0.94, 2022, 2041
IPSL-CM6A-LR, r1i1p1f1, ssp119, 0.94, 2029, 2048
MRI-ESM2-0, r1i1p1f1, ssp119, 0.94, 2029, 2048
UKESM1-0-LL, r1i1p1f2, ssp119, 0.94, 2018, 2037
ACCESS-CM2, r1i1p1f1, ssp126, 0.94, 2019, 2038
ACCESS-ESM1-5, r1i1p1f1, ssp126, 0.94, 2039, 2058
AWI-CM-1-1-MR, r1i1p1f1, ssp126, 0.94, 2046, 2065
AWI-ESM-1-REcoM, r1i1p1f1, ssp126, 0.94, 2045, 2064
BCC-CSM2-MR, r1i1p1f1, ssp126, 0.94, 2038, 2057
CAS-ESM2-0, r1i1p1f1, ssp126, 0.94, 2020, 2039
CESM2-WACCM, r1i1p1f1, ssp126, 0.94, 2024, 2043
CESM2, r1i1p1f1, ssp126, 0.94, 2025, 2044
CIESM, r1i1p1f1, ssp126, 0.94, 2046, 2065
CMCC-CM2-SR5, r1i1p1f1, ssp126, 0.94, 2030, 2049
CMCC-ESM2, r1i1p1f1, ssp126, 0.94, 2033, 2052
CNRM-CM6-1-HR, r1i1p1f2, ssp126, 0.94, 2020, 2039
CNRM-CM6-1, r1i1p1f2, ssp126, 0.94, 2034, 2053
CNRM-ESM2-1, r1i1p1f2, ssp126, 0.94, 2047, 2066
CanESM5-1, r1i1p1f1, ssp126, 0.94, 2019, 2038
CanESM5-CanOE, r1i1p2f1, ssp126, 0.94, 2019, 2038
CanESM5, r1i1p1f1, ssp126, 0.94, 2021, 2040
EC-Earth3-Veg-LR, r1i1p1f1, ssp126, 0.94, 2048, 2067
EC-Earth3-Veg, r1i1p1f1, ssp126, 0.94, 2046, 2065
EC-Earth3, r1i1p1f1, ssp126, 0.94, 2024, 2043
FGOALS-f3-L, r1i1p1f1, ssp126, 0.94, 2050, 2069
FIO-ESM-2-0, r1i1p1f1, ssp126, 0.94, 2033, 2052
GISS-E2-1-G, r1i1p1f2, ssp126, 0.94, 2013, 2032
GISS-E2-1-H, r1i1p1f2, ssp126, 0.94, 2022, 2041
GISS-E2-2-G, r1i1p3f1, ssp126, 0.94, 2025, 2044
HadGEM3-GC31-LL, r1i1p1f3, ssp126, 0.94, 2017, 2036
HadGEM3-GC31-MM, r1i1p1f3, ssp126, 0.94, 2022, 2041
IPSL-CM6A-LR, r1i1p1f1, ssp126, 0.94, 2030, 2049
KACE-1-0-G, r1i1p1f1, ssp126, 0.94, 2017, 2036
MCM-UA-1-0, r1i1p1f2, ssp126, 0.94, 2054, 2073
MIROC6, r1i1p1f1, ssp126, 0.94, 2059, 2078
MIROC-ES2L, r1i1p1f2, ssp126, 0.94, 2036, 2055
MRI-ESM2-0, r1i1p1f1, ssp126, 0.94, 2029, 2048
NESM3, r1i1p1f1, ssp126, 0.94, 2025, 2044
NorESM2-MM, r1i1p1f1, ssp126, 0.94, 2060, 2079
TaiESM1, r1i1p1f1, ssp126, 0.94, 2017, 2036
UKESM1-0-LL, r1i1p1f2, ssp126, 0.94, 2017, 2036
UKESM1-1-LL, r1i1p1f2, ssp126, 0.94, 2019, 2038
ACCESS-CM2, r1i1p1f1, ssp245, 0.94, 2020, 2039
ACCESS-ESM1-5, r1i1p1f1, ssp245, 0.94, 2027, 2046
AWI-CM-1-1-MR, r1i1p1f1, ssp245, 0.94, 2032, 2051
AWI-ESM-1-REcoM, r1i1p1f1, ssp245, 0.94, 2032, 2051
BCC-CSM2-MR, r1i1p1f1, ssp245, 0.94, 2030, 2049
CAMS-CSM1-0, r1i1p1f1, ssp245, 0.94, 2046, 2065
CAS-ESM2-0, r1i1p1f1, ssp245, 0.94, 2021, 2040
CESM2-WACCM, r1i1p1f1, ssp245, 0.94, 2027, 2046
CESM2, r1i1p1f1, ssp245, 0.94, 2024, 2043
CIESM, r1i1p1f1, ssp245, 0.94, 2021, 2040
CMCC-CM2-SR5, r1i1p1f1, ssp245, 0.94, 2030, 2049
CMCC-ESM2, r1i1p1f1, ssp245, 0.94, 2031, 2050
CNRM-CM6-1-HR, r1i1p1f2, ssp245, 0.94, 2024, 2043
CNRM-CM6-1, r1i1p1f2, ssp245, 0.94, 2031, 2050
CNRM-ESM2-1, r1i1p1f2, ssp245, 0.94, 2033, 2052
CanESM5-1, r1i1p1f1, ssp245, 0.94, 2018, 2037
CanESM5-CanOE, r1i1p2f1, ssp245, 0.94, 2017, 2036
CanESM5, r1i1p1f1, ssp245, 0.94, 2018, 2037
EC-Earth3-CC, r1i1p1f1, ssp245, 0.94, 2038, 2057
EC-Earth3-HR, r1i1p1f1, ssp245, 0.94, 2033, 2052
EC-Earth3-Veg-LR, r1i1p1f1, ssp245, 0.94, 2036, 2055
EC-Earth3-Veg, r1i1p1f1, ssp245, 0.94, 2033, 2052
EC-Earth3, r1i1p1f1, ssp245, 0.94, 2028, 2047
FGOALS-f3-L, r1i1p1f1, ssp245, 0.94, 2032, 2051
