# author: Mathias Hauser (mathias.hauser@env.ethz.ch)
# script: warming_levels.py
# executed: 2021-01-19 18:06:19
# reference years: 1995 to 2014
model, ensemble, exp, warming_level, start_year, end_year
CESM1-CAM5, r1i1p1, rcp26, 0.94, 2034, 2053
CSIRO-Mk3-6-0, r1i1p1, rcp26, 0.94, 2038, 2057
CanESM2, r1i1p1, rcp26, 0.94, 2028, 2047
GFDL-CM3, r1i1p1, rcp26, 0.94, 2028, 2047
HadGEM2-ES, r1i1p1, rcp26, 0.94, 2027, 2046
IPSL-CM5A-LR, r1i1p1, rcp26, 0.94, 2060, 2079
ACCESS1-0, r1i1p1, rcp45, 0.94, 2034, 2053
ACCESS1-3, r1i1p1, rcp45, 0.94, 2032, 2051
BNU-ESM, r1i1p1, rcp45, 0.94, 2029, 2048
CCSM4, r1i1p1, rcp45, 0.94, 2042, 2061
CESM1-BGC, r1i1p1, rcp45, 0.94, 2040, 2059
CESM1-CAM5, r1i1p1, rcp45, 0.94, 2027, 2046
CMCC-CMS, r1i1p1, rcp45, 0.94, 2029, 2048
CMCC-CM, r1i1p1, rcp45, 0.94, 2033, 2052
CNRM-CM5, r1i1p1, rcp45, 0.94, 2040, 2059
CSIRO-Mk3-6-0, r1i1p1, rcp45, 0.94, 2029, 2048
CSIRO-Mk3L-1-2, r1i2p1, rcp45, 0.94, 2048, 2067
CanESM2, r1i1p1, rcp45, 0.94, 2023, 2042
EC-EARTH, r1i1p1, rcp45, 0.94, 2037, 2056
FGOALS-g2, r1i1p1, rcp45, 0.94, 2043, 2062
GFDL-CM3, r1i1p1, rcp45, 0.94, 2020, 2039
GFDL-ESM2M, r1i1p1, rcp45, 0.94, 2060, 2079
GISS-E2-H-CC, r1i1p1, rcp45, 0.94, 2047, 2066
GISS-E2-H, r1i1p1, rcp45, 0.94, 2041, 2060
GISS-E2-R-CC, r1i1p1, rcp45, 0.94, 2078, 2097
GISS-E2-R, r1i1p1, rcp45, 0.94, 2077, 2096
HadGEM2-AO, r1i1p1, rcp45, 0.94, 2030, 2049
HadGEM2-CC, r1i1p1, rcp45, 0.94, 2025, 2044
HadGEM2-ES, r1i1p1, rcp45, 0.94, 2025, 2044
IPSL-CM5A-LR, r1i1p1, rcp45, 0.94, 2029, 2048
IPSL-CM5A-MR, r1i1p1, rcp45, 0.94, 2028, 2047
IPSL-CM5B-LR, r1i1p1, rcp45, 0.94, 2039, 2058
MIROC5, r1i1p1, rcp45, 0.94, 2037, 2056
MPI-ESM-LR, r1i1p1, rcp45, 0.94, 2040, 2059
MPI-ESM-MR, r1i1p1, rcp45, 0.94, 2038, 2057
MRI-CGCM3, r1i1p1, rcp45, 0.94, 2044, 2063
NorESM1-ME, r1i1p1, rcp45, 0.94, 2039, 2058
NorESM1-M, r1i1p1, rcp45, 0.94, 2039, 2058
bcc-csm1-1-m, r1i1p1, rcp45, 0.94, 2049, 2068
bcc-csm1-1, r1i1p1, rcp45, 0.94, 2039, 2058
inmcm4, r1i1p1, rcp45, 0.94, 2061, 2080
CCSM4, r1i1p1, rcp60, 0.94, 2039, 2058
CESM1-CAM5, r1i1p1, rcp60, 0.94, 2034, 2053
CSIRO-Mk3-6-0, r1i1p1, rcp60, 0.94, 2042, 2061
FIO-ESM, r1i1p1, rcp60, 0.94, 2056, 2075
GFDL-CM3, r1i1p1, rcp60, 0.94, 2027, 2046
GFDL-ESM2G, r1i1p1, rcp60, 0.94, 2065, 2084
GFDL-ESM2M, r1i1p1, rcp60, 0.94, 2058, 2077
GISS-E2-H, r1i1p1, rcp60, 0.94, 2043, 2062
GISS-E2-R, r1i1p1, rcp60, 0.94, 2056, 2075
HadGEM2-AO, r1i1p1, rcp60, 0.94, 2043, 2062
HadGEM2-ES, r1i1p1, rcp60, 0.94, 2029, 2048
IPSL-CM5A-LR, r1i1p1, rcp60, 0.94, 2032, 2051
IPSL-CM5A-MR, r1i1p1, rcp60, 0.94, 2036, 2055
MIROC5, r1i1p1, rcp60, 0.94, 2052, 2071
MRI-CGCM3, r1i1p1, rcp60, 0.94, 2050, 2069
NorESM1-ME, r1i1p1, rcp60, 0.94, 2050, 2069
NorESM1-M, r1i1p1, rcp60, 0.94, 2048, 2067
bcc-csm1-1-m, r1i1p1, rcp60, 0.94, 2049, 2068
bcc-csm1-1, r1i1p1, rcp60, 0.94, 2040, 2059
ACCESS1-0, r1i1p1, rcp85, 0.94, 2023, 2042
ACCESS1-3, r1i1p1, rcp85, 0.94, 2023, 2042
BNU-ESM, r1i1p1, rcp85, 0.94, 2021, 2040
CCSM4, r1i1p1, rcp85, 0.94, 2025, 2044
CESM1-BGC, r1i1p1, rcp85, 0.94, 2027, 2046
CESM1-CAM5, r1i1p1, rcp85, 0.94, 2024, 2043
CMCC-CESM, r1i1p1, rcp85, 0.94, 2028, 2047
CMCC-CMS, r1i1p1, rcp85, 0.94, 2024, 2043
CMCC-CM, r1i1p1, rcp85, 0.94, 2025, 2044
CNRM-CM5, r1i1p1, rcp85, 0.94, 2030, 2049
CSIRO-Mk3-6-0, r1i1p1, rcp85, 0.94, 2028, 2047
CanESM2, r1i1p1, rcp85, 0.94, 2020, 2039
EC-EARTH, r1i1p1, rcp85, 0.94, 2028, 2047
FGOALS-g2, r1i1p1, rcp85, 0.94, 2027, 2046
FGOALS-s2, r3i1p1, rcp85, 0.94, 2021, 2040
FIO-ESM, r1i1p1, rcp85, 0.94, 2033, 2052
GFDL-CM3, r1i1p1, rcp85, 0.94, 2019, 2038
GFDL-ESM2G, r1i1p1, rcp85, 0.94, 2039, 2058
GFDL-ESM2M, r1i1p1, rcp85, 0.94, 2035, 2054
GISS-E2-H-CC, r1i1p1, rcp85, 0.94, 2032, 2051
GISS-E2-H, r1i1p1, rcp85, 0.94, 2028, 2047
GISS-E2-R-CC, r1i1p1, rcp85, 0.94, 2035, 2054
GISS-E2-R, r1i1p1, rcp85, 0.94, 2033, 2052
HadGEM2-AO, r1i1p1, rcp85, 0.94, 2031, 2050
HadGEM2-CC, r1i1p1, rcp85, 0.94, 2016, 2035
HadGEM2-ES, r1i1p1, rcp85, 0.94, 2019, 2038
IPSL-CM5A-LR, r1i1p1, rcp85, 0.94, 2024, 2043
IPSL-CM5A-MR, r1i1p1, rcp85, 0.94, 2024, 2043
IPSL-CM5B-LR, r1i1p1, rcp85, 0.94, 2028, 2047
MIROC5, r1i1p1, rcp85, 0.94, 2032, 2051
MPI-ESM-LR, r1i1p1, rcp85, 0.94, 2029, 2048
MPI-ESM-MR, r1i1p1, rcp85, 0.94, 2031, 2050
MRI-CGCM3, r1i1p1, rcp85, 0.94, 2031, 2050
MRI-ESM1, r1i1p1, rcp85, 0.94, 2030, 2049
NorESM1-ME, r1i1p1, rcp85, 0.94, 2030, 2049
NorESM1-M, r1i1p1, rcp85, 0.94, 2029, 2048
bcc-csm1-1-m, r1i1p1, rcp85, 0.94, 2029, 2048
bcc-csm1-1, r1i1p1, rcp85, 0.94, 2031, 2050
inmcm4, r1i1p1, rcp85, 0.94, 2040, 2059
